================================================================================
DESGLOSE DE JRV Y CARGA ELECTORAL POR DEPARTAMENTO
Elecciones Generales 2025 - Honduras
================================================================================


--------------------------------------------------------------------------------
DEPARTAMENTO: ATLANTIDA (Código: 1)
--------------------------------------------------------------------------------
Total de JRV: 939
Total de Casillas Legislativas (Diputados): 8
Carga Electoral Total: 296,287

JRV por Municipio y Centro de Votación:

  Municipio: LA CEIBA (Código: 1)
    Centro de Votación: CEB CLAUDIO BARRERA
      JRV   183 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   200 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   201 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO
      JRV   202 | Carga Electoral:   345 | Área: URBANA | Sector: COL. SAN JUDAS TADEO

    Centro de Votación: CEB CRISTOBAL COLON
      JRV   281 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   282 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   283 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   284 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   285 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   286 | Carga Electoral:   341 | Área: URBANA | Sector: COL. YESSENIA CASTILLO
      JRV   287 | Carga Electoral:   340 | Área: URBANA | Sector: COL. YESSENIA CASTILLO

    Centro de Votación: CEB GUSTAVO A. CASTAÑEDA
      JRV    62 | Carga Electoral:   368 | Área: URBANA | Sector: BO. MEJIA
      JRV    63 | Carga Electoral:   368 | Área: URBANA | Sector: BO. MEJIA
      JRV    64 | Carga Electoral:   368 | Área: URBANA | Sector: BO. MEJIA
      JRV    65 | Carga Electoral:   368 | Área: URBANA | Sector: BO. MEJIA
      JRV    66 | Carga Electoral:   367 | Área: URBANA | Sector: BO. MEJIA
      JRV    67 | Carga Electoral:   367 | Área: URBANA | Sector: BO. MEJIA

    Centro de Votación: CEB JOSE CECIIO DEL VALLE
      JRV    86 | Carga Electoral:   336 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    87 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    88 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    89 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    90 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    91 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    92 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    93 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA
      JRV    94 | Carga Electoral:   335 | Área: URBANA | Sector: BO. BELLA VISTA

    Centro de Votación: CEB JOSE VALENTIN VASQUEZ
      JRV   251 | Carga Electoral:   340 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   252 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   253 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   254 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   255 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   256 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   257 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   258 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   259 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   260 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   261 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE
      JRV   262 | Carga Electoral:   339 | Área: URBANA | Sector: COL. EL CONFITE

    Centro de Votación: CEB RAFAEL  PINEDA PONCE
      JRV   106 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   107 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   108 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   109 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   110 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   111 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   112 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   113 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   114 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   115 | Carga Electoral:   347 | Área: URBANA | Sector: COL. SUYAPA
      JRV   116 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SUYAPA
      JRV   117 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SUYAPA
      JRV   118 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SUYAPA
      JRV   119 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SUYAPA
      JRV   120 | Carga Electoral:   346 | Área: URBANA | Sector: COL. SUYAPA

    Centro de Votación: CEB. ENRIQUE ORTEZ PINEL
      JRV   245 | Carga Electoral:   296 | Área: URBANA | Sector: COL. PRIMERO DE MAYO
      JRV   246 | Carga Electoral:   295 | Área: URBANA | Sector: COL. PRIMERO DE MAYO
      JRV   247 | Carga Electoral:   295 | Área: URBANA | Sector: COL. PRIMERO DE MAYO
      JRV   248 | Carga Electoral:   295 | Área: URBANA | Sector: COL. PRIMERO DE MAYO

    Centro de Votación: CEB. EVA BERTOT DE MAZIER
      JRV   177 | Carga Electoral:   320 | Área: URBANA | Sector: COL. CASA BLANCA
      JRV   178 | Carga Electoral:   320 | Área: URBANA | Sector: COL. CASA BLANCA
      JRV   179 | Carga Electoral:   320 | Área: URBANA | Sector: COL. CASA BLANCA
      JRV   180 | Carga Electoral:   320 | Área: URBANA | Sector: COL. CASA BLANCA
      JRV   181 | Carga Electoral:   320 | Área: URBANA | Sector: COL. CASA BLANCA
      JRV   182 | Carga Electoral:   319 | Área: URBANA | Sector: COL. CASA BLANCA

    Centro de Votación: CEB. MIGUEL PAZ BARAHONA
      JRV   263 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   264 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   265 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   266 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   267 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   268 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   269 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO
      JRV   270 | Carga Electoral:   350 | Área: URBANA | Sector: BONITILLO

    Centro de Votación: CEB. MINERVA
      JRV   346 | Carga Electoral:   283 | Área: RURAL | Sector: YARUCA
      JRV   347 | Carga Electoral:   283 | Área: RURAL | Sector: YARUCA
      JRV   348 | Carga Electoral:   282 | Área: RURAL | Sector: YARUCA

    Centro de Votación: CEBG. JUAN MANUEL MORA DURON
      JRV    58 | Carga Electoral:   181 | Área: URBANA | Sector: COL. ESQUIPULAS O LA CULATA

    Centro de Votación: CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA
      JRV    68 | Carga Electoral:   340 | Área: URBANA | Sector: BO. INDEPENDENCIA
      JRV    69 | Carga Electoral:   340 | Área: URBANA | Sector: BO. INDEPENDENCIA
      JRV    70 | Carga Electoral:   339 | Área: URBANA | Sector: BO. INDEPENDENCIA
      JRV    71 | Carga Electoral:   339 | Área: URBANA | Sector: BO. INDEPENDENCIA

    Centro de Votación: CENTRO EVANGELICO BETHEL
      JRV     1 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     2 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     3 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     4 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     5 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     6 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     7 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     8 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV     9 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV    10 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV    11 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV    12 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV    13 | Carga Electoral:   345 | Área: URBANA | Sector: BO. LA ISLA
      JRV    14 | Carga Electoral:   344 | Área: URBANA | Sector: BO. LA ISLA
      JRV    15 | Carga Electoral:   344 | Área: URBANA | Sector: BO. LA ISLA
      JRV    16 | Carga Electoral:   344 | Área: URBANA | Sector: BO. LA ISLA
      JRV    17 | Carga Electoral:   344 | Área: URBANA | Sector: BO. LA ISLA
      JRV    18 | Carga Electoral:   344 | Área: URBANA | Sector: BO. LA ISLA

    Centro de Votación: ESC. 10 DE SEPTIEMBRE
      JRV   169 | Carga Electoral:   329 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   170 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   171 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   172 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   173 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   174 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   175 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   176 | Carga Electoral:   328 | Área: URBANA | Sector: COL. LA PRADERA
      JRV   357 | Carga Electoral:   284 | Área: RURAL | Sector: RIO MARIA
      JRV   358 | Carga Electoral:   283 | Área: RURAL | Sector: RIO MARIA

    Centro de Votación: ESC. 14 DE JULIO DE 1969
      JRV   361 | Carga Electoral:   243 | Área: RURAL | Sector: URRACO

    Centro de Votación: ESC. ABRAHAM MEJIA ZERON
      JRV   359 | Carga Electoral:   206 | Área: RURAL | Sector: EL PITAL
      JRV   360 | Carga Electoral:   205 | Área: RURAL | Sector: EL PITAL

    Centro de Votación: ESC. AGUSTO C. COELLO
      JRV    24 | Carga Electoral:   316 | Área: URBANA | Sector: BO. INGLES
      JRV    25 | Carga Electoral:   316 | Área: URBANA | Sector: BO. INGLES
      JRV    26 | Carga Electoral:   316 | Área: URBANA | Sector: BO. INGLES
      JRV    27 | Carga Electoral:   316 | Área: URBANA | Sector: BO. INGLES

    Centro de Votación: ESC. ATENEA
      JRV    19 | Carga Electoral:   318 | Área: URBANA | Sector: BO. EL CENTRO
      JRV    20 | Carga Electoral:   318 | Área: URBANA | Sector: BO. EL CENTRO
      JRV    21 | Carga Electoral:   317 | Área: URBANA | Sector: BO. EL CENTRO
      JRV    22 | Carga Electoral:   317 | Área: URBANA | Sector: BO. EL CENTRO
      JRV    23 | Carga Electoral:   317 | Área: URBANA | Sector: BO. EL CENTRO

    Centro de Votación: ESC. CARLOS HARTLING
      JRV   323 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   324 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   325 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   326 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   327 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   328 | Carga Electoral:   352 | Área: RURAL | Sector: SATUYE
      JRV   329 | Carga Electoral:   351 | Área: RURAL | Sector: SATUYE

    Centro de Votación: ESC. EL PROGRESO
      JRV   333 | Carga Electoral:   308 | Área: RURAL | Sector: LAS MANGAS

    Centro de Votación: ESC. FERNANDO SOTO HENRIQUEZ
      JRV   226 | Carga Electoral:   269 | Área: URBANA | Sector: COL. EL DANTILLO
      JRV   227 | Carga Electoral:   269 | Área: URBANA | Sector: COL. EL DANTILLO
      JRV   228 | Carga Electoral:   269 | Área: URBANA | Sector: COL. EL DANTILLO

    Centro de Votación: ESC. GUSTAVO A. MARTINEZ
      JRV   310 | Carga Electoral:   295 | Área: RURAL | Sector: ARMENIA BONITO
      JRV   311 | Carga Electoral:   295 | Área: RURAL | Sector: ARMENIA BONITO
      JRV   312 | Carga Electoral:   295 | Área: RURAL | Sector: ARMENIA BONITO

    Centro de Votación: ESC. JESUS AGUILAR PAZ
      JRV   229 | Carga Electoral:   322 | Área: URBANA | Sector: COL. BRISAS DEL NORTE
      JRV   230 | Carga Electoral:   322 | Área: URBANA | Sector: COL. BRISAS DEL NORTE
      JRV   231 | Carga Electoral:   322 | Área: URBANA | Sector: COL. BRISAS DEL NORTE
      JRV   232 | Carga Electoral:   321 | Área: URBANA | Sector: COL. BRISAS DEL NORTE
      JRV   233 | Carga Electoral:   321 | Área: URBANA | Sector: COL. BRISAS DEL NORTE

    Centro de Votación: ESC. JOSE ARTURO SANTOS
      JRV   249 | Carga Electoral:   217 | Área: URBANA | Sector: COL. MODESTO RODAS ALVARADO
      JRV   250 | Carga Electoral:   217 | Área: URBANA | Sector: COL. MODESTO RODAS ALVARADO

    Centro de Votación: ESC. JOSE TRINIDAD CABAÑAS
      JRV    76 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    77 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    78 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    79 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    80 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    81 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    82 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    83 | Carga Electoral:   352 | Área: URBANA | Sector: BO. ALVARADO
      JRV    84 | Carga Electoral:   351 | Área: URBANA | Sector: BO. ALVARADO
      JRV    85 | Carga Electoral:   351 | Área: URBANA | Sector: BO. ALVARADO

    Centro de Votación: ESC. JOSE TRINIDAD REYES
      JRV   215 | Carga Electoral:   338 | Área: URBANA | Sector: COL. EL DANTO
      JRV   216 | Carga Electoral:   338 | Área: URBANA | Sector: COL. EL DANTO
      JRV   217 | Carga Electoral:   338 | Área: URBANA | Sector: COL. EL DANTO
      JRV   218 | Carga Electoral:   338 | Área: URBANA | Sector: COL. EL DANTO
      JRV   219 | Carga Electoral:   338 | Área: URBANA | Sector: COL. EL DANTO
      JRV   220 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO
      JRV   221 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO
      JRV   222 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO
      JRV   223 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO
      JRV   224 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO
      JRV   225 | Carga Electoral:   337 | Área: URBANA | Sector: COL. EL DANTO

    Centro de Votación: ESC. JUAN LINDO
      JRV   330 | Carga Electoral:   358 | Área: RURAL | Sector: EL PERU
      JRV   331 | Carga Electoral:   358 | Área: RURAL | Sector: EL PERU
      JRV   332 | Carga Electoral:   358 | Área: RURAL | Sector: EL PERU

    Centro de Votación: ESC. JUAN MANUEL GALVEZ
      JRV    38 | Carga Electoral:   345 | Área: URBANA | Sector: BO. BUENOS AIRES
      JRV    39 | Carga Electoral:   344 | Área: URBANA | Sector: BO. BUENOS AIRES
      JRV    40 | Carga Electoral:   344 | Área: URBANA | Sector: BO. BUENOS AIRES
      JRV    41 | Carga Electoral:   344 | Área: URBANA | Sector: BO. BUENOS AIRES
      JRV    42 | Carga Electoral:   344 | Área: URBANA | Sector: BO. BUENOS AIRES

    Centro de Votación: ESC. JUANA REYES DE MARESMA
      JRV   239 | Carga Electoral:   334 | Área: URBANA | Sector: COL. PALMIRA
      JRV   240 | Carga Electoral:   333 | Área: URBANA | Sector: COL. PALMIRA
      JRV   241 | Carga Electoral:   333 | Área: URBANA | Sector: COL. PALMIRA
      JRV   242 | Carga Electoral:   333 | Área: URBANA | Sector: COL. PALMIRA
      JRV   243 | Carga Electoral:   333 | Área: URBANA | Sector: COL. PALMIRA
      JRV   244 | Carga Electoral:   333 | Área: URBANA | Sector: COL. PALMIRA

    Centro de Votación: ESC. JUSTO RUFINO SPILBURY
      JRV   349 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   350 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   351 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   352 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   353 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   354 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO
      JRV   355 | Carga Electoral:   322 | Área: RURAL | Sector: EL BUFALO

    Centro de Votación: ESC. LA LIBERTAD
      JRV   337 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK
      JRV   338 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK
      JRV   339 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK
      JRV   340 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK
      JRV   341 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK
      JRV   342 | Carga Electoral:   359 | Área: RURAL | Sector: SAMBO CREEK

    Centro de Votación: ESC. LEMPIRA
      JRV   134 | Carga Electoral:   338 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   135 | Carga Electoral:   338 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   136 | Carga Electoral:   338 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   137 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   138 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   139 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   140 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   141 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   142 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   143 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA
      JRV   144 | Carga Electoral:   337 | Área: URBANA | Sector: BO. SIERRA PINA

    Centro de Votación: ESC. MARCO ANTONIO PONCE
      JRV   101 | Carga Electoral:   314 | Área: URBANA | Sector: COL. LAS MERCEDES
      JRV   102 | Carga Electoral:   314 | Área: URBANA | Sector: COL. LAS MERCEDES
      JRV   103 | Carga Electoral:   314 | Área: URBANA | Sector: COL. LAS MERCEDES
      JRV   104 | Carga Electoral:   314 | Área: URBANA | Sector: COL. LAS MERCEDES
      JRV   105 | Carga Electoral:   314 | Área: URBANA | Sector: COL. LAS MERCEDES

    Centro de Votación: ESC. MARGIE DIP
      JRV   306 | Carga Electoral:   229 | Área: URBANA | Sector: COL. LOMAS DE PALMIRA
      JRV   307 | Carga Electoral:   229 | Área: URBANA | Sector: COL. LOMAS DE PALMIRA

    Centro de Votación: ESC. MIGUEL ROBERTO MONCADA
      JRV   362 | Carga Electoral:   192 | Área: RURAL | Sector: LOS NARANJOS
      JRV   363 | Carga Electoral:   192 | Área: RURAL | Sector: LOS NARANJOS

    Centro de Votación: ESC. PEDRO NUFIO
      JRV   356 | Carga Electoral:   318 | Área: RURAL | Sector: LOS LIMPIOS

    Centro de Votación: ESC. POLICARPO PAZ GARCIA
      JRV   203 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   204 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   205 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   206 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   207 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   208 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   209 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   210 | Carga Electoral:   355 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   211 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   212 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   213 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2
      JRV   214 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MELGAR CASTRO No. 2

    Centro de Votación: ESC. RAFAEL BARDALES BUESO
      JRV   234 | Carga Electoral:   349 | Área: URBANA | Sector: COL. CLUB DE LEONES
      JRV   235 | Carga Electoral:   349 | Área: URBANA | Sector: COL. CLUB DE LEONES
      JRV   236 | Carga Electoral:   348 | Área: URBANA | Sector: COL. CLUB DE LEONES
      JRV   237 | Carga Electoral:   348 | Área: URBANA | Sector: COL. CLUB DE LEONES
      JRV   238 | Carga Electoral:   348 | Área: URBANA | Sector: COL. CLUB DE LEONES

    Centro de Votación: ESC. RAFAELA H. RODRIGUEZ
      JRV    46 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    47 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    48 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    49 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    50 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    51 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    52 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    53 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    54 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    55 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    56 | Carga Electoral:   354 | Área: URBANA | Sector: COL. MIRAMAR
      JRV    57 | Carga Electoral:   353 | Área: URBANA | Sector: COL. MIRAMAR

    Centro de Votación: ESC. RAMON MONTOYA
      JRV   288 | Carga Electoral:   336 | Área: URBANA | Sector: BO. LA ISLA
      JRV   289 | Carga Electoral:   336 | Área: URBANA | Sector: BO. LA ISLA
      JRV   290 | Carga Electoral:   336 | Área: URBANA | Sector: BO. LA ISLA
      JRV   291 | Carga Electoral:   336 | Área: URBANA | Sector: BO. LA ISLA
      JRV   292 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   293 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   294 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   295 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   296 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   297 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA
      JRV   298 | Carga Electoral:   335 | Área: URBANA | Sector: BO. LA ISLA

    Centro de Votación: ESC. RAMON QUINTANILLA JACOME
      JRV    43 | Carga Electoral:   308 | Área: URBANA | Sector: COL. LA ALHAMBRA
      JRV    44 | Carga Electoral:   308 | Área: URBANA | Sector: COL. LA ALHAMBRA
      JRV    45 | Carga Electoral:   308 | Área: URBANA | Sector: COL. LA ALHAMBRA

    Centro de Votación: ESC. RAMON ROSA
      JRV   313 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   314 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   315 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   316 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   317 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   318 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   319 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   320 | Carga Electoral:   336 | Área: RURAL | Sector: COROZAL
      JRV   321 | Carga Electoral:   335 | Área: RURAL | Sector: COROZAL
      JRV   322 | Carga Electoral:   335 | Área: RURAL | Sector: COROZAL
      JRV   343 | Carga Electoral:   301 | Área: RURAL | Sector: TONCONTIN
      JRV   344 | Carga Electoral:   301 | Área: RURAL | Sector: TONCONTIN
      JRV   345 | Carga Electoral:   301 | Área: RURAL | Sector: TONCONTIN

    Centro de Votación: ESC. REPUBLICA DE ALEMANIA #1
      JRV   299 | Carga Electoral:   364 | Área: URBANA | Sector: COL. LAS DELICIAS I
      JRV   300 | Carga Electoral:   364 | Área: URBANA | Sector: COL. LAS DELICIAS I
